ID,Title,"Line in Feed",Description,Availability,Link,"Image Link",Price,"Identifier Exists",Brand,"Product Type",Gender
1150,"La vie est belle absolu woman eau de parfum",1,"<p>the quintessence of la vie est belle&#39;s iconic fragrance.<br />
<br />
a new exceptional olfactory signature, combining the flower of happiness, the iris, with a delectable accord of goumand ingredients.<br />
<br />
olfactory notes: the most precious interpretation of lanc&ocirc;me&rsquo;s iconic goumand iris fragrance. a heart composed of the noblest natural ingredients (concrete of iris pallida, jasmin sambac absolute, orange blossom absolute, patchouli essence), enhanced by a smile of exquisite delicacies.<br />
<br />
<strong>how to apply la vie est belle l&#39;absolu de parfum</strong><br />
spray la vie est belle l&#39;absolu de parfum onto your skin, focusing on the pulse points of your body: the inside of your wrists, under your earlobes and behind your knees.</p>

<p><strong>fragrance notes</strong></p>

<p>transversal notes: iris, fine delicacies accord<br />
top notes: pear, blackberry<br />
heart notes: pallida iris concrete, orange blossom and jasmine sambac absolutes<br />
base notes: heart of patchouli essence</p>

<p><strong>bottle</strong></p>

<p>the resplendent bottle, entitled &quot;le sourire de cristal&quot; (the &quot;crystal smile&quot;) evokes the rounded imprint of a smile at the heart of the crystal square.<br />
the finishing touch of refinement: a pearlescent grey organza ribbon is tied around its neck, forming the twin wings of freedom.</p>

<p><strong>what make the difference</strong></p>

<p>the unique olfactory signature perfume scent of the first tasty iris by lanc&ocirc;me</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; linalool &bull; benzyl salicylate &bull; limonene &bull; methyl anthranilate &bull; tris (tetramethylhydroxypiperidinol) citrate &bull; ethylhexyl methoxycinnamate &bull; butyl methoxydibenzoylmethane &bull; ci 147 / red 4 &bull; ci 172 / red 33 &bull; ci 475 / yellow 1 &bull; geraniol &bull; alpha-isomethyl ionone &bull; coumarin &bull; farnesol &bull; citral &bull; citronellol &bull; benzyl alcohol &bull; benzyl benzoate.&nbsp;<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/la-vie-est-belle-absolu-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aaf9a82e02e3.jpg,"112 JOD",yes,LANCOME,FRAGRANCES,"For Her"
1140,"La vie est belle l'eau de toilette woman",2,"<p>life is beautiful. live it your way.</p>

<p>a new universal declaration of happiness, composed of some of the noblest naturally-derived ingredients. as one of the 1st flowers to bloom in spring, magnolia is the symbol of new beginnings.&nbsp;<br />
<br />
the new eau de toilette is illuminated with magnolia essence which adds a fresh luminosity and is a majestic interpretation of the iconic la vie est belle signature.<br />
<br />
<strong>olfactory notes</strong><br />
eau de toilette composed of a luminous heart of some of the noblest naturally derived ingredients [majestic magnolia essence, iris pallida, white flowers absolute, patchouli essence] enlightened by a smile of delicate gourmand notes.<br />
<br />
<strong>how to apply la vie est belle eau de toilette</strong><br />
spray la vie est belle onto your skin, focusing on the warm areas of your body: the inside of your wrists, under your earlobes and behind your knees.</p>

<p><strong>fragrance notes</strong></p>

<p>transversal notes: iris, almondy fine delicacies accord<br />
top notes: pear, blackberry, coconut milk&nbsp;<br />
heart notes: magnolia essence, pallida iris concrete, jasmine sambac and orange blossom absolutes<br />
base notes: heart of patchouli essence</p>

<p><strong>bottle</strong></p>

<p>the resplendent bottle, entitled &quot;le sourire de cristal&quot; (the &quot;crystal smile&quot;) is seen in more profound, radiant form than ever.<br />
its new, pared-down lines are magnified with an iridescent white organza ribbon, forming two ethereal wings on its joyful silhouette, symbols of freedom.</p>

<p>the unique olfactory signature perfume scent of the first tasty magnolia by lanc&ocirc;me</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; benzyl salicylate &bull; linalool &bull; methyl anthranilate &bull; tris (tetramethylhydroxypiperidinol) citrate &bull; ethylhexyl methoxycinnamate &bull; butyl methoxydibenzoylmethane &bull; bht &bull; ci 147 / red 4 &bull; ci 475 / yellow 1 &bull; ci 673 / ext. violet 2 &bull; geraniol &bull; alpha-isomethyl ionone &bull; coumarin &bull; farnesol &bull; limonene &bull; citral &bull; citronellol &bull; benzyl alcohol &bull; benzyl benzoate.<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/la-vie-est-belle-l-eau-de-toilette-woman,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aaf9f487dac8.jpg,"120 JOD",yes,LANCOME,FRAGRANCES,"For Her"
1136,"La vie est belle l'eau de parfum woman",3,"<p>spread happiness with la vie est belle, lanc&ocirc;me&rsquo;s best selling feminine fragrance. incarnated by julia roberts, la vie est belle is a universal declaration to the beauty of life. a unique olfactory signature perfume scent created by three of france&#39;s leading perfumers.</p>

<p><br />
<strong>olfactory notes:</strong></p>

<p>floral eau de parfum with the noblest ingredients [concrete of iris pallida, jasmine sambac, orange blossom, patchouli essence...].&nbsp;<br />
<br />
<strong>how to apply la vie est belle eau de parfum:</strong><br />
spray la vie est belle onto your skin, focusing on the warm areas of your body: the inside of your wrists, below your earlobes and behind your knees.</p>

<p><strong>fragrance notes</strong></p>

<p>transversal notes: iris, fine delicacies accord<br />
top notes: pear, blackberry<br />
heart notes: pallida iris concrete, orange blossom and jasmine sambac absolutes<br />
base notes: heart of patchouli essence</p>

<p><strong>bottle</strong></p>

<p>the resplendent bottle, entitled &quot;le sourire de cristal&quot; (the &quot;crystal smile&quot;) evokes the rounded imprint of a smile at the heart of the crystal square.<br />
the finishing touch of refinement: a pearlescent grey organza ribbon is tied around its neck, forming the twin wings of freedom.</p>

<p><strong>what make the difference</strong></p>

<p>the unique olfactory signature perfume scent of the first tasty iris by lanc&ocirc;me</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; linalool &bull; benzyl salicylate &bull; limonene &bull; methyl anthranilate &bull; tris (tetramethylhydroxypiperidinol) citrate &bull; ethylhexyl methoxycinnamate &bull; butyl methoxydibenzoylmethane &bull; ci 147 / red 4 &bull; ci 172 / red 33 &bull; ci 475 / yellow 1 &bull; geraniol &bull; alpha-isomethyl ionone &bull; coumarin &bull; farnesol &bull; citral &bull; citronellol &bull; benzyl alcohol &bull; benzyl benzoate.&nbsp;<br />
<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/la-vie-est-belle-l-eau-de-parfum-woman,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aafa3364bdb6.jpg,"104 JOD",yes,LANCOME,FRAGRANCES,"For Her"
1137,"La vie est belle l'eau de parfum woman",4,"<p>spread happiness with la vie est belle, lanc&ocirc;me&rsquo;s best selling feminine fragrance. incarnated by julia roberts, la vie est belle is a universal declaration to the beauty of life. a unique olfactory signature perfume scent created by three of france&#39;s leading perfumers.</p>

<p><br />
<strong>olfactory notes:</strong></p>

<p>floral eau de parfum with the noblest ingredients [concrete of iris pallida, jasmine sambac, orange blossom, patchouli essence...].&nbsp;<br />
<br />
<strong>how to apply la vie est belle eau de parfum:</strong><br />
spray la vie est belle onto your skin, focusing on the warm areas of your body: the inside of your wrists, below your earlobes and behind your knees.</p>

<p><strong>fragrance notes</strong></p>

<p>transversal notes: iris, fine delicacies accord<br />
top notes: pear, blackberry<br />
heart notes: pallida iris concrete, orange blossom and jasmine sambac absolutes<br />
base notes: heart of patchouli essence</p>

<p><strong>bottle</strong></p>

<p>the resplendent bottle, entitled &quot;le sourire de cristal&quot; (the &quot;crystal smile&quot;) evokes the rounded imprint of a smile at the heart of the crystal square.<br />
the finishing touch of refinement: a pearlescent grey organza ribbon is tied around its neck, forming the twin wings of freedom.</p>

<p><strong>what make the difference</strong></p>

<p>the unique olfactory signature perfume scent of the first tasty iris by lanc&ocirc;me</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; linalool &bull; benzyl salicylate &bull; limonene &bull; methyl anthranilate &bull; tris (tetramethylhydroxypiperidinol) citrate &bull; ethylhexyl methoxycinnamate &bull; butyl methoxydibenzoylmethane &bull; ci 147 / red 4 &bull; ci 172 / red 33 &bull; ci 475 / yellow 1 &bull; geraniol &bull; alpha-isomethyl ionone &bull; coumarin &bull; farnesol &bull; citral &bull; citronellol &bull; benzyl alcohol &bull; benzyl benzoate.&nbsp;<br />
<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/la-vie-est-belle-l-eau-de-parfum-woman,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aafa3364bdb6.jpg,"128 JOD",yes,LANCOME,FRAGRANCES,"For Her"
62873,"Tresor woman eau de parfum",5,"<p>love is a treasure.&nbsp;</p>

<p>since its creation in 1990, tr&eacute;sor has embodied absolute love in all its facets. a delicate and light fragrance with a romantic and smooth touch.<br />
<br />
share the emotion of everlasting love with tr&eacute;sor, the fragrance for treasured moments.<br />
<br />
<strong>how to apply&nbsp;</strong><br />
spray about 20 cm from skin, focusing on the warmest areas of your body: pulse points on the wrists, behind the earlobes or knees to intensify the alluring effect.</p>

<p><strong>fragrance notes</strong></p>

<p>&quot; i drew inspiration from the kind of confiden feminine woman who always leaves her mark &hellip; tr&eacute;sor is an eau de parfum composed with noble raw materials. they reveal a remarkably rounded olfactory signature, as if extending an invitation to embrace &hellip; it is this transparent structure that makes tr&eacute;sor unforgettable. it reveals sheer femininity from start to finish&quot;<br />
sophia grojsman, the perfumer<br />
<br />
top notes: rose petals, apricot blossoms, peach tree flowers<br />
middle notes: lilly of the valley, vanilla, heliotrope, iris<br />
base notes: sandalwood, musk</p>

<p><strong>bottle</strong></p>

<p>tr&eacute;sor bottle is a crystalline jewel as resplendent as love itself, drawing inspiration from high-end jewellery.&nbsp;<br />
<br />
its chiselled pyramidal form features many facets that capture and reflect light, perfectly echoing its similarly faceted square cap, accentuated by a ring of black lacquer, like the symbol of eternal union.&nbsp;<br />
a crystal treasure for the most legendary of love fragrances</p>

<p><strong>what make the difference</strong></p>

<p>an invitation to an embrace, from its iconic bottle to its delicate and light scent.</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; alpha-isomethyl ionone &bull; linalool &bull; geraniol &bull; eugenol &bull; isoeugenol &bull; coumarin &bull; cinnamal &bull; cinnamyl alcohol &bull; limonene &bull; hydroxycitronellal &bull; citral &bull; citronellol &bull; diethylamino hydroxybenzoyl hexyl benzoate &bull; ethylhexyl methoxycinnamate &bull; butylphenyl ethylpropional &bull; benzyl benzoate &bull; benzyl salicylate &bull; bht &bull; ci 147 / red 4 &bull; ci 1914 / yellow 5 &bull; ci 6157 / green 5<br />
<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/tresor-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aafa3a934ba5.jpg,"104 JOD",yes,LANCOME,FRAGRANCES,"For Her"
62874,"Tresor woman eau de parfum",6,"<p>love is a treasure.&nbsp;</p>

<p>since its creation in 1990, tr&eacute;sor has embodied absolute love in all its facets. a delicate and light fragrance with a romantic and smooth touch.<br />
<br />
share the emotion of everlasting love with tr&eacute;sor, the fragrance for treasured moments.<br />
<br />
<strong>how to apply&nbsp;</strong><br />
spray about 20 cm from skin, focusing on the warmest areas of your body: pulse points on the wrists, behind the earlobes or knees to intensify the alluring effect.</p>

<p><strong>fragrance notes</strong></p>

<p>&quot; i drew inspiration from the kind of confiden feminine woman who always leaves her mark &hellip; tr&eacute;sor is an eau de parfum composed with noble raw materials. they reveal a remarkably rounded olfactory signature, as if extending an invitation to embrace &hellip; it is this transparent structure that makes tr&eacute;sor unforgettable. it reveals sheer femininity from start to finish&quot;<br />
sophia grojsman, the perfumer<br />
<br />
top notes: rose petals, apricot blossoms, peach tree flowers<br />
middle notes: lilly of the valley, vanilla, heliotrope, iris<br />
base notes: sandalwood, musk</p>

<p><strong>bottle</strong></p>

<p>tr&eacute;sor bottle is a crystalline jewel as resplendent as love itself, drawing inspiration from high-end jewellery.&nbsp;<br />
<br />
its chiselled pyramidal form features many facets that capture and reflect light, perfectly echoing its similarly faceted square cap, accentuated by a ring of black lacquer, like the symbol of eternal union.&nbsp;<br />
a crystal treasure for the most legendary of love fragrances</p>

<p><strong>what make the difference</strong></p>

<p>an invitation to an embrace, from its iconic bottle to its delicate and light scent.</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; alpha-isomethyl ionone &bull; linalool &bull; geraniol &bull; eugenol &bull; isoeugenol &bull; coumarin &bull; cinnamal &bull; cinnamyl alcohol &bull; limonene &bull; hydroxycitronellal &bull; citral &bull; citronellol &bull; diethylamino hydroxybenzoyl hexyl benzoate &bull; ethylhexyl methoxycinnamate &bull; butylphenyl ethylpropional &bull; benzyl benzoate &bull; benzyl salicylate &bull; bht &bull; ci 147 / red 4 &bull; ci 1914 / yellow 5 &bull; ci 6157 / green 5<br />
<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/tresor-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5aafa3a934ba5.jpg,"138 JOD",yes,LANCOME,FRAGRANCES,"For Her"
45236,"L`homme eau de toilette",7,"<p>a perfect balance between unrefined and precious, ultra-masculine and elegance, off-the-shelf and luxury. a fragrance for the urban and charismatic 21st century male. in a sparkling opening, bergamot and a zest of cedar wood brings luminosity to the fragrance, sustained with chinese ginger. the middle floral and spicy notes contrast with this first note of freshness: the sophisticated and modern masculinity of violet leaves and basil flowers, the bite and resonance of white pepper. base notes of sandalwood, virginia cedar wood and haitian vetiver highlight this charismatic and magnetic fragrance.</p>

<p><strong>application</strong></p>

<p>ozone<br />
accord<br />
haitian<br />
vetiver<br />
tonka bean<br />
violet leaves</p>

<p><strong>ingredients</strong></p>

<p>alcohol. aqua (water). parfum (fragrance). ethylhexyl methoxycinnamate. limonene. butyl methoxydibenzoylmethane. butylphenyl methylpropional. tris(tetramethylhydroxypiperidinol) citrate. linalool. coumarin. propylene glycol. geraniol. alpha-methyl ionone. citral. disodium edta. ci 15985 (yellow 6). ci 19140 (yellow 5).</p>
",in_stock,https://www.giftscenter.com/product/l-homme-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/60ed5dcddb899.png,"112 JOD",yes,"YVES SAINT LAURENT",FRAGRANCES,"For Him"
45238,"L`homme eau de toilette",8,"<p>a perfect balance between unrefined and precious, ultra-masculine and elegance, off-the-shelf and luxury. a fragrance for the urban and charismatic 21st century male. in a sparkling opening, bergamot and a zest of cedar wood brings luminosity to the fragrance, sustained with chinese ginger. the middle floral and spicy notes contrast with this first note of freshness: the sophisticated and modern masculinity of violet leaves and basil flowers, the bite and resonance of white pepper. base notes of sandalwood, virginia cedar wood and haitian vetiver highlight this charismatic and magnetic fragrance.</p>

<p><strong>application</strong></p>

<p>ozone<br />
accord<br />
haitian<br />
vetiver<br />
tonka bean<br />
violet leaves</p>

<p><strong>ingredients</strong></p>

<p>alcohol. aqua (water). parfum (fragrance). ethylhexyl methoxycinnamate. limonene. butyl methoxydibenzoylmethane. butylphenyl methylpropional. tris(tetramethylhydroxypiperidinol) citrate. linalool. coumarin. propylene glycol. geraniol. alpha-methyl ionone. citral. disodium edta. ci 15985 (yellow 6). ci 19140 (yellow 5).</p>
",in_stock,https://www.giftscenter.com/product/l-homme-eau-de-toilette,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/60ed5dcddb899.png,"81 JOD",yes,"YVES SAINT LAURENT",FRAGRANCES,"For Him"
1157,"Miracle l'eau de parfum woman",9,"<p>life is a miracle. a vibrant, sparkling fragrance that opens like the dawning of a new day with fresh, dewy notes of lychee and freesia.&nbsp;</p>

<p>its spicy heart echoes with notes of magnolia, jasmine, ginger and pepper as its warm base notes envelop you in the sensual splendour of amber and musk.<br />
<br />
<strong>how to apply &ocirc; miracle</strong><br />
spray about 20 cm from skin, focusing on the warmest areas of your body: pulse points on the wrists, behind the earlobes or knees to intensify the alluring effect.</p>

<p>fragrance notes</p>

<p>top notes: juicy lychee, freesia and pink peppercorn<br />
heart notes: peony, damascena rose, delicate magnolia, bourbon pepper, ginger.<br />
base notes: absolute jasmine, musk, patchouli, amber</p>

<p><strong>bottle</strong></p>

<p>the bottle is classic, pure and transparent. clean, modern and unimposing - a reminiscence of a bottle created for lanc&ocirc;me in the 1930&#39;s by lalique, a worldwide renowned french crystal manufacturer.</p>

<p><strong>what make the difference</strong></p>

<p>the celebration of moments of happiness</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; linalool &bull; geraniol &bull; isoeugenol &bull; cinnamyl alcohol &bull; limonene &bull; hydroxycitronellal &bull; citral &bull; citronellol &bull; ethylhexyl methoxycinnamate &bull; ethylhexyl salicylate &bull; butyl methoxydibenzoylmethane &bull; butylphenyl methylpropional &bull; benzyl benzoate &bull; benzyl salicylate &bull; bht &bull; benzyl alcohol &bull; ci 147 / red 4 &bull; ci 1551 / orange 4 &bull; ci 172 / red 33 &bull; ci 1914 / yellow 5 &bull; alpha-isomethylionone &bull; hexyl cinnamal.&nbsp;<br />
<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/miracle-l-eau-de-parfum-woman,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5f1d80a694a50.jpg,"135 JOD",yes,LANCOME,FRAGRANCES,"For Her"
1173,"Tresor in love woman eau de parfum",10,"<p>twenty years after the creation of tr&eacute;sor, lanc&ocirc;me reveals tr&eacute;sor in love and writes a new story: the treasured moment when everything starts, a liberated spirit of romance conveyed with floral notes. both luminous and vibrant, sensual and radiant, tr&eacute;sor in love is a soaring hymn to love...<br />
<br />
the heroine of tr&eacute;sor in love lives her love story with a desarming spontaneity. like the mixed feelings of a young woman in love, when the infinite sweetness of the meeting becomes confused with the intensity of the feelings, the juice of tr&eacute;sor in love is made with many constrasts: a new irresistible floral, composed of a touch of nectarine and wood of cedar, a characteristic rose and a bright jasmine.</p>

<p><strong>fragrance notes</strong></p>

<p>top notes: bergamot, nectarine, tangy pear, pink peppercorn<br />
heart notes: jasmine and rose<br />
base notes: cedar wood, musks</p>

<p><strong>bottle</strong></p>

<p>object of desire with slender lines, the bottle of tr&eacute;sor in love delivers a resolutely modern energy, like an essence of today. a black satin rose adorns the bottle like a lucky charm around the neck.</p>

<p><strong>what make the difference</strong></p>

<p>a scent that evokes the spirit and the spontaneity of the first love.</p>

<p><strong>ingredients</strong></p>

<p>alcohol &bull; parfum / fragrance &bull; aqua / water &bull; ethylhexyl methoxycinnamate &bull; ethylhexyl salicylate &bull; butyl methoxydibenzoylmethane &bull; bht &bull; ci 147 / red 4 &bull; ci 1914 / yellow 5 &bull; linalool &bull; geraniol &bull; alpha-isomethyl ionone &bull; methyl-2-octynoate &bull; limonene &bull; hydroxycitronellal &bull; citral &bull; citronellol &bull; benzyl alcohol &bull; benzyl salicylate<br />
<br />
* this ingredient list is subject to change, customers should refer to the product packaging for the most up-to-date ingredient list.</p>
",in_stock,https://www.giftscenter.com/product/tresor-in-love-woman-eau-de-parfum,https://giftscenter.s3.me-central-1.amazonaws.com/familypic/5abf4a4ac5eaa.jpg,"120 JOD",yes,LANCOME,FRAGRANCES,"For Her"
